,atributos
0,bilhões
1,queda
2,usiminas
3,subsidiárias
4,lyondellbasell
5,atualizado
6,zelotes
7,detalhadas
8,acionário
9,navios
10,líquido
11,capital
12,prejuízo
13,residencial
14,privatização
15,aeronáutica
16,settle
17,bahia
18,ações
19,mineração
20,peste
21,hering
22,oddone
23,fgc
24,mw
25,lava
26,planejamento
27,ano
28,negócios
29,airan
30,par
31,iraniano
32,interino
33,justiça
34,adr
35,fato
36,empresas
37,operou
38,empresa
39,advertising
40,bairros
41,advogados
42,tribunal
43,produtores
44,caído
45,preo
46,moradores
47,jcp
48,air
49,devido
50,reajustadas
51,show
52,celulose
53,instruções
54,eixo
55,estrella
56,refining
57,embarcações
58,ordinária
59,miyamoto
60,lovells
61,fundo
62,vendas
63,tendo
64,geológica
65,principal
66,madeira
67,placement
68,settlement
69,orgânico
70,figura
71,consenso
72,street
73,notes
74,rostás
75,termeh
76,suspensas
77,acionistas
78,popular
79,assembleias
80,vilela
81,assinadas
82,duplicação
83,boed
84,acelerou
85,estratégico
86,dias
87,rival
88,center
89,marginais
90,china
91,fusão
92,jungmann
93,schroeder
94,due
95,auction
96,consórcios
97,continuem
98,widerøe
99,competition
100,adchoices
101,gol
102,persa
103,venture
104,papéis
105,concretização
106,satisfeito
107,warner
108,baúna
109,pagamento
110,tentou
111,ricardo
112,cds
113,faturou
114,exportar
115,nomes
116,mercado
117,congelou
118,significativamente
119,matar
120,desinvestimentos
121,backlog
122,schvartsman
123,xisto
124,antagonista
125,vigia
126,iss
127,acontecendo
128,subcontratadas
129,natural
130,neto
131,lewandowski
132,incentivadas
133,sabiá
134,saesa
135,acordo
136,waldson
137,renunciar
138,combinada
139,calculado
140,ceo
141,envolva
142,iminente
143,determina
144,habilitados
145,chegaram
146,normais
147,imposição
148,irreparável
149,todavia
150,polo
151,doria
152,ativo
153,desenho
154,proteínas
155,águas
156,firmaram
157,implementado
158,saneago
159,fibria
160,proquigel
161,investidores
162,cnodc
163,put
164,eficiência
165,movidas
166,deltan
167,operadora
168,encerrada
169,centavos
170,localizado
171,credit
172,irã
173,grow
174,aperfeiçoar
175,magliano
176,stella
177,victorio
178,conselheira
179,frustração
180,diferentemente
181,delator
182,resposta
183,operavam
184,vive
185,auditorias
186,antecipou
187,energética
188,aplicativo
189,divulgaçãodivulgação
190,arrematou
191,senior
192,almir
193,estimado
194,farmacêutico
195,panvel
196,ometto
197,analistas
198,sair
199,acidente
200,mantoan
201,arbitragem
202,globo
203,daniela
204,situação
205,dantas
206,jornal
207,recomenda
208,envolvidos
209,vazados
210,beira
211,compensadas
212,abicom
213,financeiras
214,anterior
215,danos
216,veirano
217,escreveu
218,acadêmico
219,arremataram
220,maggi
221,billion
222,divisão
223,tarpon
224,minoritária
225,cprm
226,normatização
227,fluxo
228,social
229,jpmorgan
230,apagadas
231,tráfego
232,auferir
233,chegou
234,fatiar
235,indicador
236,sampaio
237,incorporou
238,monitorada
239,estima
240,petrogal
241,aeroporto
242,ilustra
243,colaboração
244,buy
245,neves
246,journal
247,vagas
248,lawsuit
249,negcios
250,projetos
251,despeito
252,garantir
253,palácio
254,interlocução
255,elevada
256,disciplina
257,desembolsou
258,brumadinho
259,cnpj
260,respeito
261,estável
262,devidamente
263,devendo
264,labuto
265,inegociável
266,manguinhos
267,afetada
268,grillo
269,inorganic
270,saneatins
271,encerra
272,vantagens
273,martins
274,tutela
275,osx
276,ruptura
277,comunicado
278,produz
279,samor
280,albuquerque
281,supremo
282,hogan
283,fino
284,edna
285,tetos
286,habilitações
287,martinho
288,mencionava
289,administrado
290,dossiê
291,fabrica
292,fizermos
293,otto
294,efetivar
295,mattar
296,computados
297,opa
298,interrompeu
299,mediante
300,equatorial
301,unidos
302,privilegiadas
