,atributos
0,investidores
1,planejamento
2,trading
3,opa
4,placement
5,tráfego
6,poderia
7,projetos
8,penal
9,pasadena
10,par
11,privatização
12,papéis
13,polo
14,palácio
15,palavra
16,pagamento
17,otimização
18,princípios
19,precedentes
20,produtores
21,principal
22,vnc
23,visão
24,venture
25,vendas
26,vantagens
27,unidos
28,prejuízo
29,totais
30,tornozeleira
31,tendo
32,suspende
33,supremo
34,supreme
35,subsidiárias
36,stella
37,widerøe
38,world
39,tribunal
40,social
41,mediante
42,solicitou
43,operadora
44,oddone
45,protocolo
46,xisto
47,página
48,punição
49,soberana
50,produz
51,público
52,restrições
53,notes
54,situação
55,recursos
56,martins
57,recurso
58,neto
59,queda
60,mercado
61,seca
62,sancionador
63,salários
64,significativamente
65,sabiá
66,respeito
67,sair
68,recuperado
69,resposta
70,rompeu
71,ruptura
72,rival
73,quase
74,jornal
75,jpmorgan
76,juiz
77,justiça
78,lava
79,localizado
80,líquido
81,madeira
82,navios
83,mineração
84,mu
85,muita
86,mw
87,natural
88,negócios
89,min
90,sinalização
91,its
92,ricardo
93,acionistas
94,indicador
95,águas
96,gol
97,chegou
98,fato
99,bahia
100,china
101,chegaram
102,finalidade
103,consenso
104,fino
105,botijões
106,brumadinho
107,capital
108,celulose
109,center
110,fundo
111,fusão
112,garantir
113,cnpj
114,colaboração
115,comando
116,comissão
117,companhia
118,comparação
119,comunicado
120,boed
121,financeiras
122,billion
123,escreveu
124,frustração
125,fontes
126,fluxo
127,equatorial
128,bilhões
129,escândalo
130,estima
131,estimado
132,estratégico
133,estável
134,exportar
135,federais
136,acionário
137,energética
138,devido
139,ano
140,envolvidos
141,baúna
142,açúcar
143,globo
144,cprm
145,consórcios
146,credit
147,encerrada
148,dantas
149,conseguiu
150,devidamente
151,ações
152,encerra
153,analistas
154,antagonista
155,empresariais
156,empresa
157,emissão
158,eficiência
159,auction
160,dívida
161,divisão
162,difícil
163,dias
164,deal
165,destacou
166,despacho
167,desinvestimentos
168,deferida
169,debater
170,delator
171,edna
172,albuquerque
173,acordo
174,advogados
175,acusação
176,acontecendo
177,afetada
178,alexandre
179,antecipou
180,anterior
181,arbitragem
182,arábia
183,assinadas
184,ativo
185,atual
186,altas
187,atualizado
188,empresas
