,atributos
0,street
1,pendentes
2,tutela
3,permitirão
4,tst
5,procedimento
6,venture
7,operavam
8,otimização
9,pagamento
10,pagavam
11,palácio
12,papéis
13,par
14,pasadena
15,penal
16,world
17,placement
18,planejamento
19,poderia
20,polo
21,popular
22,precedentes
23,prejuízo
24,preso
25,previsibilidade
26,principal
27,princípios
28,operadora
29,vilela
30,nomes
31,trading
32,usiminas
33,unidos
34,uber
35,visão
36,vive
37,tráfego
38,tribunal
39,neto
40,vendas
41,totais
42,terminou
43,tentou
44,tendo
45,tartaruga
46,suspensas
47,suspende
48,supremo
49,privatização
50,vagas
51,vazados
52,subsidiárias
53,negócios
54,privilegiadas
55,natural
56,produtores
57,stella
58,mw
59,produz
60,muita
61,solicitou
62,social
63,interlocutor
64,moradores
65,mitsui
66,minoritária
67,mineração
68,mineira
69,mercado
70,mediante
71,mattar
72,martins
73,líquido
74,lewandowski
75,lava
76,latam
77,justiça
78,jungmann
79,juiz
80,journal
81,jornal
82,its
83,investidores
84,lovells
85,lyondellbasell
86,informaram
87,iniciais
88,projetos
89,put
90,página
91,público
92,quase
93,queda
94,recurso
95,recursos
96,renteria
97,respeito
98,resposta
99,restrições
100,rival
101,ruptura
102,sabiá
103,sair
104,salariais
105,schvartsman
106,senior
107,settlement
108,significativamente
109,sinalização
110,situação
111,ricardo
112,indicador
113,acionistas
114,acidente
115,incorporou
116,águas
117,incentivadas
118,diferentemente
119,xisto
120,hogan
121,bairros
122,bilhões
123,credit
124,consenso
125,conseguiu
126,concretização
127,comunicado
128,comprometido
129,encerra
130,comparação
131,companhia
132,comissão
133,combinada
134,comando
135,colaboração
136,danos
137,cisão
138,china
139,chegou
140,chegaram
141,celulose
142,cassou
143,capital
144,calculado
145,brumadinho
146,billion
147,bilionário
148,bilionária
149,cielo
150,bahia
151,garantir
152,gol
153,globo
154,fusão
155,faturou
156,envolvidos
157,escreveu
158,escândalo
159,estima
160,estimado
161,estratégico
162,estável
163,fatiar
164,fato
165,federais
166,fibria
167,finalidade
168,financeiras
169,fluxo
170,fontes
171,formar
172,frustração
173,fuccilli
174,fundo
175,encerrada
176,empresas
177,cotados
178,empresa
179,energética
180,daqui
181,açúcar
182,ações
183,cprm
184,dias
185,ativo
186,atendeu
187,assinadas
188,apurados
189,aplicativo
190,anterior
191,antecipou
192,ano
193,analistas
194,albuquerque
195,alexandre
196,afetada
197,aeroporto
198,aeronáutica
199,advogados
200,adr
201,administrado
202,acusação
203,acordo
204,acionário
205,altas
206,atual
207,eixo
208,autoridade
209,emissão
210,editoras
211,dívida
212,dossiê
213,daí
214,deal
215,deltan
216,desembolsou
217,desenho
218,desinvestimentos
219,doleiro
220,despacho
221,despeito
222,destacou
223,determina
224,devido
225,doria
226,difícil
227,disciplina
228,disposto
229,eficiência
230,atualizado
231,divisão
